pegy,insider,sentiment,vix,regime_code,time_of_day,regime,conviction,confidence,should_trade,expected_return
0.3745,0.2223,0.4295,60.23,1,0.025,bear,0.2423,0.9962,0,-0.0123
0.7149,1.0,0.8651,12.65,0,0.2232,bull,0.991,0.9932,1,0.1091
0.4305,0.4301,0.5363,10.43,2,0.6767,sideways,0.5266,0.9988,0,-0.0272
0.4157,0.3481,0.5471,15.46,2,0.0869,sideways,0.4927,0.9966,0,-0.0241
0.5198,0.2048,0.3135,30.75,1,0.0298,bear,0.2798,0.9915,0,-0.0154
0.7666,0.4698,0.8064,12.0,0,0.5054,bull,0.8102,0.9887,1,0.0562
0.6597,1.0,0.748,9.71,0,0.1988,bull,0.9434,0.9896,1,0.1051
0.1169,0.2918,0.0,31.72,1,0.5449,bear,0.1575,0.9928,0,-0.008
0.8608,0.7343,0.7327,13.49,0,0.5893,bull,0.9101,0.9982,1,0.0525
0.392,0.4309,0.6586,21.72,2,0.0065,sideways,0.5289,0.9931,0,-0.0276
0.5486,0.4422,0.3985,23.06,2,0.6981,sideways,0.5123,0.998,0,0.0003
0.8897,0.5322,0.7036,16.66,0,0.1555,bull,0.8366,0.9893,1,0.0868
0.1021,0.1222,0.0394,63.04,3,0.3366,crisis,0.0398,0.9994,0,-0.0019
0.9534,0.6856,0.9005,16.81,0,0.0967,bull,0.9679,0.9933,1,0.0807
0.5542,0.7307,0.4946,27.82,2,0.6037,sideways,0.6174,0.995,0,-0.0362
0.6233,0.5131,0.4551,20.46,2,0.7297,sideways,0.574,0.9976,0,-0.0299
0.267,0.3214,0.5956,39.82,1,0.9731,bear,0.291,0.9897,0,-0.0181
0.6747,0.8831,0.7993,12.35,0,0.552,bull,0.9184,0.9963,1,0.094
0.5146,0.6453,0.3947,18.36,2,0.6185,sideways,0.5691,0.9948,0,-0.0139
0.2805,0.5444,0.5392,20.03,2,0.5774,sideways,0.5022,0.9924,0,-0.0123
0.2877,0.4369,0.4486,15.99,2,0.0458,sideways,0.4555,0.9973,0,-0.0116
0.8106,1.0,0.7762,16.29,0,0.2894,bull,0.9922,0.9952,1,0.097
0.4622,0.6947,0.759,27.32,0,0.2328,bull,0.7427,0.9919,1,0.0447
0.7952,0.6931,0.5747,20.71,0,0.278,bull,0.8155,0.9959,1,0.0781
0.4187,0.0681,0.5806,30.98,1,0.3648,bear,0.2763,0.9771,0,-0.0041
1.0,0.5019,0.6651,15.5,0,0.2095,bull,0.8551,0.9785,1,0.061
0.5174,0.7137,0.5907,17.37,0,0.9367,bull,0.7371,0.9967,1,0.029
0.5325,0.0933,0.2356,53.14,1,0.6091,bear,0.2219,0.9833,0,-0.0223
0.7841,0.9614,0.5089,15.92,0,0.7291,bull,0.8935,0.9827,1,0.0839
0.8673,0.4526,0.5519,17.61,0,0.3795,bull,0.7562,0.9844,1,0.0572
0.175,0.202,0.082,77.32,3,0.64,crisis,0.0503,0.9987,0,-0.0071
0.1928,0.6232,0.3948,33.09,1,0.6846,bear,0.3107,0.9846,0,-0.0034
0.3538,0.6181,0.6738,15.9,2,0.776,sideways,0.5862,0.9903,0,-0.0004
0.8119,0.8644,1.0,13.77,0,0.0321,bull,1.0,0.9969,1,0.0849
0.6166,0.5368,0.7384,16.71,0,0.2677,bull,0.7539,0.9966,1,0.0563
0.8741,0.7026,0.968,13.68,0,0.9429,bull,0.9712,0.994,1,0.1486
0.5939,0.3714,0.3394,22.41,2,0.3147,sideways,0.4908,0.9936,0,-0.0122
0.4071,0.3446,0.2854,36.53,1,0.3956,bear,0.2745,0.9988,0,-0.0251
0.1053,0.2785,0.1714,62.54,3,0.4589,crisis,0.0643,0.9975,0,-0.0083
0.8078,0.5232,0.7731,15.29,0,0.2466,bull,0.8276,0.992,1,0.0427
0.3537,0.3622,0.5166,55.54,1,0.2627,bear,0.2874,0.9972,0,-0.0238
0.1593,0.353,0.4028,50.15,1,0.8978,bear,0.2304,0.9945,0,0.0285
0.8356,0.9271,0.8931,18.26,0,0.2193,bull,1.0,0.9993,1,0.0937
0.2259,0.0341,0.1263,70.15,3,0.5095,crisis,0.0463,0.9969,0,-0.0092
